goodsid,id,goodsname,groupmanagetypename
429846,2106,新会陈皮,中药材
362081,473,党参,中药饮片
362082,473,党参,中药饮片
462779,3708,红参,中药饮片
407569,4550,西洋参,中药饮片
407571,4550,西洋参,中药饮片
407574,4550,西洋参,中药饮片
458759,476,党参,中药饮片
458758,476,党参,中药饮片
458760,476,党参,中药饮片
467893,298,人参,中药饮片
467892,3710,红参,中药饮片
467890,3710,红参,中药饮片
456692,4552,西洋参,中药饮片
464977,4554,西洋参,中药饮片
456696,4556,西洋参,中药饮片
456693,4556,西洋参,中药饮片
458919,4556,西洋参,中药饮片
458918,4556,西洋参,中药饮片
456694,4556,西洋参,中药饮片
456697,4556,西洋参,中药饮片
456695,4556,西洋参,中药饮片
411389,5346,高丽红参,中药饮片
457267,5346,高丽红参,中药饮片
448202,5346,高丽红参,中药饮片
448201,5346,高丽红参,中药饮片
457245,5346,高丽红参,中药饮片
362108,1440,天麻,中药饮片
362109,1440,天麻,中药饮片
427884,479,党参,中药饮片
436252,479,党参,中药饮片
444210,5347,高丽红参,中药饮片
457271,5347,高丽红参,中药饮片
457269,5347,高丽红参,中药饮片
444211,5347,高丽红参,中药饮片
457270,5347,高丽红参,中药饮片
324475,1501,奥美拉唑肠溶胶囊,西药
118247,3975,老范志万应神曲,中成药
51143,3060,珍珠末,中成药
262715,3190,痛经宝颗粒,中成药
22068,5139,阿胶,中药饮片
356440,5139,阿胶,中药饮片
141147,5139,阿胶,中药饮片
348218,5139,阿胶,中药饮片
302962,5139,阿胶,中药饮片
334443,5139,阿胶,中药饮片
389244,5139,阿胶,中药饮片
22069,5139,阿胶,中药饮片
352195,5139,阿胶,中药饮片
458999,5139,阿胶,中药饮片
84273,5139,阿胶,中药饮片
352247,5139,阿胶,中药饮片
37082,5139,阿胶,中药饮片
4113,5139,阿胶,中药饮片
389520,5139,阿胶,中药饮片
105771,5139,阿胶,中药饮片
354632,5139,阿胶,中药饮片
89557,5139,阿胶,中药饮片
71118,5139,阿胶,中药饮片
85751,5139,阿胶,中药饮片
4138,5139,阿胶,中药饮片
92935,1890,建神曲,中药饮片
92975,1890,建神曲,中药饮片
281905,2899,焦六神曲,中药饮片
365878,2899,焦六神曲,中药饮片
77939,2902,焦神曲,中药饮片
18748,312,人字草,中药饮片
17523,444,儿茶,中药饮片
17474,2097,接骨草,中药饮片
15527,3137,田基黄,中药饮片
16917,3920,罗勒,中药饮片
15408,4042,肿节风,中药饮片
301444,4042,肿节风,中药饮片
17690,5272,风不动,中药饮片
17081,5323,马蹄金,中药饮片
16590,5515,龙鳞草,中药饮片
16833,655,北茵陈,中药饮片
15713,2798,溪黄草,中药饮片
490489,3010,猫爪草,中药饮片
17239,3011,猫须草,中药饮片
76616,3475,瞿麦,中药饮片
18280,3475,瞿麦,中药饮片
301960,3475,瞿麦,中药饮片
17565,3875,绵茵陈,中药饮片
128472,4261,茵陈,中药饮片
298898,4261,茵陈,中药饮片
74674,4261,茵陈,中药饮片
88153,4261,茵陈,中药饮片
461113,4261,茵陈,中药饮片
76428,4329,萹蓄,中药饮片
16843,4329,萹蓄,中药饮片
74653,4665,车前草,中药饮片
367792,4665,车前草,中药饮片
285733,4665,车前草,中药饮片
298976,4665,车前草,中药饮片
17995,4665,车前草,中药饮片
18483,4727,连钱草,中药饮片
17617,4924,金钱草,中药饮片
74604,4924,金钱草,中药饮片
203890,4924,金钱草,中药饮片
359320,4924,金钱草,中药饮片
17113,5388,鸡骨癀,中药饮片
61001,5389,鸡骨草,中药饮片
16512,3229,白英,中药饮片
75024,335,仙鹤草,中药饮片
15737,335,仙鹤草,中药饮片
337079,335,仙鹤草,中药饮片
368054,335,仙鹤草,中药饮片
18285,818,卷柏,中药饮片
178474,818,卷柏,中药饮片
176528,1719,小蓟,中药饮片
15775,1719,小蓟,中药饮片
285727,652,北刘寄奴,中药饮片
16817,652,北刘寄奴,中药饮片
291159,1859,干益母草,中药饮片
74650,2593,泽兰,中药饮片
50659,2593,泽兰,中药饮片
293055,2593,泽兰,中药饮片
16173,2593,泽兰,中药饮片
16000,3289,益母草,中药饮片
74673,3289,益母草,中药饮片
14944,5324,马鞭草,中药饮片
15984,60,一枝黄花,中药饮片
294529,767,半枝莲,中药饮片
16682,767,半枝莲,中药饮片
74660,770,半边莲,中药饮片
16676,770,半边莲,中药饮片
213912,1072,地耳草,中药饮片
17039,1611,定经草,中药饮片
301679,1862,干鱼腥草,中药饮片
301680,1862,干鱼腥草,中药饮片
300721,2932,爵床,中药饮片
78520,2932,爵床,中药饮片
14615,2932,爵床,中药饮片
339491,3183,疳积草,中药饮片
18051,3183,疳积草,中药饮片
16323,3225,白花蛇舌草,中药饮片
75436,3225,白花蛇舌草,中药饮片
185969,3225,白花蛇舌草,中药饮片
16322,3225,白花蛇舌草,中药饮片
77938,3225,白花蛇舌草,中药饮片
17141,3617,积雪草,中药饮片
