START_DATE,END_DATE,REPLENISH_DAY,SHIP_TIME,MIN_BIN_SIZE,REPLENISH_QUANTILE,PRED_QUANTILE,date,current_stock,goodsqty,replenish,replenishqty,placepointid,method
2022-11-01,2023-01-31,"[2, 5]",1,500,0.95,0.5,2022-11-01,3593.0,20.0,1059.0,7370.0,58158,lsf
2022-11-01,2023-01-31,"[2, 5]",1,500,0.95,0.5,2022-11-02,3126.0,34.0,0.0,0.0,58158,lsf
2022-11-01,2023-01-31,"[2, 5]",1,500,0.95,0.5,2022-11-03,10065.0,2.0,0.0,0.0,58158,lsf
2022-11-01,2023-01-31,"[2, 5]",1,500,0.95,0.5,2022-11-04,9387.0,3.0,48.0,293.0,58158,lsf
2022-11-01,2023-01-31,"[2, 5]",1,500,0.95,0.5,2022-11-05,9012.0,5.0,0.0,0.0,58158,lsf
2022-11-01,2023-01-31,"[2, 5]",1,500,0.95,0.5,2022-11-06,8772.0,2.0,0.0,0.0,58158,lsf
2022-11-01,2023-01-31,"[2, 5]",1,500,0.95,0.5,2022-11-07,8234.0,6.0,0.0,0.0,58158,lsf
2022-11-01,2023-01-31,"[2, 5]",1,500,0.95,0.5,2022-11-08,7806.0,12.0,132.0,1278.0,58158,lsf
2022-11-01,2023-01-31,"[2, 5]",1,500,0.95,0.5,2022-11-09,7170.0,18.0,0.0,0.0,58158,lsf
2022-11-01,2023-01-31,"[2, 5]",1,500,0.95,0.5,2022-11-10,8029.0,5.0,0.0,0.0,58158,lsf
2022-11-01,2023-01-31,"[2, 5]",1,500,0.95,0.5,2022-11-11,7567.0,9.0,134.0,1266.0,58158,lsf
2022-11-01,2023-01-31,"[2, 5]",1,500,0.95,0.5,2022-11-12,7181.0,7.0,0.0,0.0,58158,lsf
2022-11-01,2023-01-31,"[2, 5]",1,500,0.95,0.5,2022-11-13,7716.0,5.0,0.0,0.0,58158,lsf
2022-11-01,2023-01-31,"[2, 5]",1,500,0.95,0.5,2022-11-14,7071.0,10.0,0.0,0.0,58158,lsf
2022-11-01,2023-01-31,"[2, 5]",1,500,0.95,0.5,2022-11-15,6379.0,13.0,182.0,3238.0,58158,lsf
2022-11-01,2023-01-31,"[2, 5]",1,500,0.95,0.5,2022-11-16,5781.0,29.0,0.0,0.0,58158,lsf
2022-11-01,2023-01-31,"[2, 5]",1,500,0.95,0.5,2022-11-17,8611.0,10.0,0.0,0.0,58158,lsf
2022-11-01,2023-01-31,"[2, 5]",1,500,0.95,0.5,2022-11-18,8144.0,9.0,141.0,1320.0,58158,lsf
2022-11-01,2023-01-31,"[2, 5]",1,500,0.95,0.5,2022-11-19,7811.0,8.0,0.0,0.0,58158,lsf
2022-11-01,2023-01-31,"[2, 5]",1,500,0.95,0.5,2022-11-20,8592.0,4.0,0.0,0.0,58158,lsf
2022-11-01,2023-01-31,"[2, 5]",1,500,0.95,0.5,2022-11-21,7980.0,8.0,0.0,0.0,58158,lsf
2022-11-01,2023-01-31,"[2, 5]",1,500,0.95,0.5,2022-11-22,6672.0,9.0,161.0,3954.0,58158,lsf
2022-11-01,2023-01-31,"[2, 5]",1,500,0.95,0.5,2022-11-23,6146.0,8.0,0.0,0.0,58158,lsf
2022-11-01,2023-01-31,"[2, 5]",1,500,0.95,0.5,2022-11-24,9285.0,5.0,0.0,0.0,58158,lsf
2022-11-01,2023-01-31,"[2, 5]",1,500,0.95,0.5,2022-11-25,8529.0,9.0,135.0,1233.0,58158,lsf
2022-11-01,2023-01-31,"[2, 5]",1,500,0.95,0.5,2022-11-26,8144.0,6.0,0.0,0.0,58158,lsf
