storageid,placepointname,date,daily_costing
363,厦门鹭燕大药房寨上分店,2023-01-01,341512.9913909952
363,厦门鹭燕大药房寨上分店,2023-01-02,339186.19709099527
363,厦门鹭燕大药房寨上分店,2023-01-03,337623.8791079952
363,厦门鹭燕大药房寨上分店,2023-01-04,334700.2825099952
363,厦门鹭燕大药房寨上分店,2023-01-05,317918.78655699524
363,厦门鹭燕大药房寨上分店,2023-01-06,317375.05761499517
363,厦门鹭燕大药房寨上分店,2023-01-07,342211.49708799523
363,厦门鹭燕大药房寨上分店,2023-01-08,335937.55783799523
363,厦门鹭燕大药房寨上分店,2023-01-09,331660.5245379952
363,厦门鹭燕大药房寨上分店,2023-01-10,335309.9237866643
363,厦门鹭燕大药房寨上分店,2023-01-11,343724.0983816644
363,厦门鹭燕大药房寨上分店,2023-01-12,334048.2924506643
363,厦门鹭燕大药房寨上分店,2023-01-13,330923.53589166433
363,厦门鹭燕大药房寨上分店,2023-01-14,353242.4391536643
363,厦门鹭燕大药房寨上分店,2023-01-15,344400.3999106643
363,厦门鹭燕大药房寨上分店,2023-01-16,346253.7079796643
363,厦门鹭燕大药房寨上分店,2023-01-17,345693.3396596643
363,厦门鹭燕大药房寨上分店,2023-01-18,343395.6085886643
363,厦门鹭燕大药房寨上分店,2023-01-19,342447.6620886643
363,厦门鹭燕大药房寨上分店,2023-01-20,338466.8898386643
363,厦门鹭燕大药房寨上分店,2023-01-21,338329.2148886643
363,厦门鹭燕大药房寨上分店,2023-01-22,338329.2148886643
363,厦门鹭燕大药房寨上分店,2023-01-23,338329.2148886643
363,厦门鹭燕大药房寨上分店,2023-01-24,338329.2148886643
363,厦门鹭燕大药房寨上分店,2023-01-25,338019.3763026643
363,厦门鹭燕大药房寨上分店,2023-01-26,339143.0567526643
363,厦门鹭燕大药房寨上分店,2023-01-27,338534.5399006643
363,厦门鹭燕大药房寨上分店,2023-01-28,337621.03860066424
363,厦门鹭燕大药房寨上分店,2023-01-29,333634.7119456643
363,厦门鹭燕大药房寨上分店,2023-01-30,331403.6230496643
363,厦门鹭燕大药房寨上分店,2023-01-31,339860.7238996643
363,厦门鹭燕大药房寨上分店,2023-02-01,338312.66572566424
363,厦门鹭燕大药房寨上分店,2023-02-02,341535.87667566433
363,厦门鹭燕大药房寨上分店,2023-02-03,341271.8464976643
363,厦门鹭燕大药房寨上分店,2023-02-04,352058.0825476643
363,厦门鹭燕大药房寨上分店,2023-02-05,349531.83538266434
363,厦门鹭燕大药房寨上分店,2023-02-06,346432.3006746643
363,厦门鹭燕大药房寨上分店,2023-02-07,343776.5962443334
363,厦门鹭燕大药房寨上分店,2023-02-08,352532.9120593334
363,厦门鹭燕大药房寨上分店,2023-02-09,345617.5322003334
363,厦门鹭燕大药房寨上分店,2023-02-10,342276.32850033336
363,厦门鹭燕大药房寨上分店,2023-02-11,341124.0872523334
363,厦门鹭燕大药房寨上分店,2023-02-12,336907.75298433343
363,厦门鹭燕大药房寨上分店,2023-02-13,334874.1217593334
363,厦门鹭燕大药房寨上分店,2023-02-14,332542.2590253334
363,厦门鹭燕大药房寨上分店,2023-02-15,348469.8396093334
363,厦门鹭燕大药房寨上分店,2023-02-16,346936.3560403334
363,厦门鹭燕大药房寨上分店,2023-02-17,344884.5487053334
363,厦门鹭燕大药房寨上分店,2023-02-18,344172.3547553334
363,厦门鹭燕大药房寨上分店,2023-02-19,340574.1975053334
363,厦门鹭燕大药房寨上分店,2023-02-20,334945.78801233345
363,厦门鹭燕大药房寨上分店,2023-02-21,328498.12082933343
363,厦门鹭燕大药房寨上分店,2023-02-22,335316.81753333344
363,厦门鹭燕大药房寨上分店,2023-02-23,332019.8372733334
363,厦门鹭燕大药房寨上分店,2023-02-24,339673.0510603334
363,厦门鹭燕大药房寨上分店,2023-02-25,338114.71487333335
363,厦门鹭燕大药房寨上分店,2023-02-26,335071.0965323334
363,厦门鹭燕大药房寨上分店,2023-02-27,333891.8026323334
363,厦门鹭燕大药房寨上分店,2023-02-28,331523.04994233337
363,厦门鹭燕大药房寨上分店,2023-03-01,323818.33436633344
363,厦门鹭燕大药房寨上分店,2023-03-02,350671.0302163334
363,厦门鹭燕大药房寨上分店,2023-03-03,349558.8647743334
363,厦门鹭燕大药房寨上分店,2023-03-04,343284.5012243334
363,厦门鹭燕大药房寨上分店,2023-03-05,338796.2806403334
363,厦门鹭燕大药房寨上分店,2023-03-06,336611.94696699997
363,厦门鹭燕大药房寨上分店,2023-03-07,321463.36959
363,厦门鹭燕大药房寨上分店,2023-03-08,336991.33145099995
363,厦门鹭燕大药房寨上分店,2023-03-09,335113.253701
363,厦门鹭燕大药房寨上分店,2023-03-10,335508.988459
363,厦门鹭燕大药房寨上分店,2023-03-11,334008.57763099996
363,厦门鹭燕大药房寨上分店,2023-03-12,331634.03909599996
363,厦门鹭燕大药房寨上分店,2023-03-13,329151.65414700005
363,厦门鹭燕大药房寨上分店,2023-03-14,324197.99254699994
363,厦门鹭燕大药房寨上分店,2023-03-15,328999.390412
363,厦门鹭燕大药房寨上分店,2023-03-16,338545.383988
363,厦门鹭燕大药房寨上分店,2023-03-17,335449.210424
363,厦门鹭燕大药房寨上分店,2023-03-18,328682.200524
363,厦门鹭燕大药房寨上分店,2023-03-19,325460.333974
363,厦门鹭燕大药房寨上分店,2023-03-20,321849.70468900003
363,厦门鹭燕大药房寨上分店,2023-03-21,320023.642534
363,厦门鹭燕大药房寨上分店,2023-03-22,351805.995909
363,厦门鹭燕大药房寨上分店,2023-03-23,349343.653404
363,厦门鹭燕大药房寨上分店,2023-03-24,347878.08200399997
363,厦门鹭燕大药房寨上分店,2023-03-25,345616.44720399997
363,厦门鹭燕大药房寨上分店,2023-03-26,344102.80672899995
363,厦门鹭燕大药房寨上分店,2023-03-27,347236.664202
363,厦门鹭燕大药房寨上分店,2023-03-28,340929.768286
363,厦门鹭燕大药房寨上分店,2023-03-29,357570.56262
363,厦门鹭燕大药房寨上分店,2023-03-30,354799.96911
363,厦门鹭燕大药房寨上分店,2023-03-31,341276.37826
363,厦门鹭燕大药房寨上分店,2023-04-01,346608.57374499994
363,厦门鹭燕大药房寨上分店,2023-04-02,343158.331935
363,厦门鹭燕大药房寨上分店,2023-04-03,339203.79082
363,厦门鹭燕大药房寨上分店,2023-04-04,326428.528269
363,厦门鹭燕大药房寨上分店,2023-04-05,322804.36596900003
363,厦门鹭燕大药房寨上分店,2023-04-06,362635.418437
363,厦门鹭燕大药房寨上分店,2023-04-07,361204.537269
363,厦门鹭燕大药房寨上分店,2023-04-08,360530.59210300003
363,厦门鹭燕大药房寨上分店,2023-04-09,347566.199271
363,厦门鹭燕大药房寨上分店,2023-04-10,344864.51607500005
363,厦门鹭燕大药房寨上分店,2023-04-11,341826.572085
363,厦门鹭燕大药房寨上分店,2023-04-12,339807.51573
363,厦门鹭燕大药房寨上分店,2023-04-13,358354.802822
363,厦门鹭燕大药房寨上分店,2023-04-14,353514.81712200004
363,厦门鹭燕大药房寨上分店,2023-04-15,353102.418668
363,厦门鹭燕大药房寨上分店,2023-04-16,349373.751626
363,厦门鹭燕大药房寨上分店,2023-04-17,345977.062476
363,厦门鹭燕大药房寨上分店,2023-04-18,339217.08085
363,厦门鹭燕大药房寨上分店,2023-04-19,336243.71371499996
363,厦门鹭燕大药房寨上分店,2023-04-20,346486.884031
363,厦门鹭燕大药房寨上分店,2023-04-21,341021.948155
363,厦门鹭燕大药房寨上分店,2023-04-22,339690.48575500003
363,厦门鹭燕大药房寨上分店,2023-04-23,339698.39180700004
363,厦门鹭燕大药房寨上分店,2023-04-24,334974.465861
363,厦门鹭燕大药房寨上分店,2023-04-25,344730.887431
363,厦门鹭燕大药房寨上分店,2023-04-26,342578.841181
363,厦门鹭燕大药房寨上分店,2023-04-27,344859.987768
363,厦门鹭燕大药房寨上分店,2023-04-28,341656.38797299995
