"SEQID","CREDATE","GOODSID","PLACEPOINTID","XXSL"
"198875","2023/6/30 15:28:20","3","","1"
"198876","2023/6/30 15:29:38","4","","1"
"196193","","6","160172","2"
"188750","","6","192153","2"
"189813","","6","137916","2"
"195133","","6","34078","2"
"187642","2022/10/19 10:48:05","6","","2"
"190891","","6","66533","2"
"16200","2021/3/31 14:29:58","6","172511","1"
"15802","2021/3/31 14:29:58","6","157277","1"
"191951","","6","208438","2"
"15404","2021/3/31 14:29:58","6","137950","1"
"14210","2021/3/31 14:29:58","6","75477","2"
"13812","2021/3/31 14:29:58","6","75443","2"
"15006","2021/3/31 14:29:58","6","107636","2"
"14608","2021/3/31 14:29:58","6","78799","2"
"13016","2021/3/31 14:29:58","6","75378","2"
"12618","2021/3/31 14:29:58","6","63679","2"
"13414","2021/3/31 14:29:58","6","75442","2"
"12220","2021/3/31 14:29:58","6","40547","2"
"11822","2021/3/31 14:29:58","6","35344","2"
"193013","","6","66134","2"
"194073","","6","66052","2"
"196194","","13","160172","2"
"198435","2023/5/30 16:25:00","13","","2"
"188751","","13","192153","2"
"189814","","13","137916","2"
"195134","","13","34078","2"
"187409","2022/10/19 10:48:05","13","","1"
"190892","","13","66533","2"
"191952","","13","208438","2"
"193014","","13","66134","2"
"194074","","13","66052","2"
"196195","","45","160172","2"
"198722","2023/5/30 16:25:00","45","","2"
"188752","","45","192153","2"
"189815","","45","137916","2"
"195135","","45","34078","2"
"187521","2022/10/19 10:48:05","45","","1"
"190893","","45","66533","2"
"191953","","45","208438","2"
"193015","","45","66134","2"
"194075","","45","66052","2"
"198486","2023/5/30 16:25:00","68","","2"
"198877","2023/6/30 15:29:41","68","","2"
"16199","2021/3/31 14:29:58","68","172511","1"
"15801","2021/3/31 14:29:58","68","157277","1"
"15403","2021/3/31 14:29:58","68","137950","1"
"14209","2021/3/31 14:29:58","68","75477","2"
"13811","2021/3/31 14:29:58","68","75443","2"
"15005","2021/3/31 14:29:58","68","107636","2"
"14607","2021/3/31 14:29:58","68","78799","2"
"13015","2021/3/31 14:29:58","68","75378","2"
"12617","2021/3/31 14:29:58","68","63679","2"
"13413","2021/3/31 14:29:58","68","75442","2"
"12219","2021/3/31 14:29:58","68","40547","2"
"11821","2021/3/31 14:29:58","68","35344","2"
"196196","","69","160172","2"
"188753","","69","192153","2"
"189816","","69","137916","2"
"195136","","69","34078","2"
"190894","","69","66533","2"
"191954","","69","208438","2"
"193016","","69","66134","2"
"194076","","69","66052","2"
"198816","2023/5/30 16:25:00","114","","1"
"198609","2023/5/30 16:25:00","115","","2"
