START_DATE,END_DATE,REPLENISH_DAY,SHIP_TIME,MIN_BIN_SIZE,REPLENISH_QUANTILE,PRED_QUANTILE,date,current_stock,goodsqty,replenish,replenishqty,placepointid,method
2022-11-01,2023-01-31,"[2, 5]",2,500,0.95,0.7,2022-11-01,3593.0,20.0,1057.0,5862.0,58158,lsf
2022-11-01,2023-01-31,"[2, 5]",2,500,0.95,0.7,2022-11-02,3126.0,34.0,0.0,0.0,58158,lsf
2022-11-01,2023-01-31,"[2, 5]",2,500,0.95,0.7,2022-11-03,2768.0,41.0,0.0,0.0,58158,lsf
2022-11-01,2023-01-31,"[2, 5]",2,500,0.95,0.7,2022-11-04,7952.0,3.0,51.0,1582.0,58158,lsf
2022-11-01,2023-01-31,"[2, 5]",2,500,0.95,0.7,2022-11-05,7575.0,3.0,0.0,0.0,58158,lsf
2022-11-01,2023-01-31,"[2, 5]",2,500,0.95,0.7,2022-11-06,7049.0,5.0,0.0,0.0,58158,lsf
2022-11-01,2023-01-31,"[2, 5]",2,500,0.95,0.7,2022-11-07,8092.0,5.0,0.0,0.0,58158,lsf
2022-11-01,2023-01-31,"[2, 5]",2,500,0.95,0.7,2022-11-08,7663.0,11.0,163.0,1522.0,58158,lsf
2022-11-01,2023-01-31,"[2, 5]",2,500,0.95,0.7,2022-11-09,7024.0,16.0,0.0,0.0,58158,lsf
2022-11-01,2023-01-31,"[2, 5]",2,500,0.95,0.7,2022-11-10,6641.0,21.0,0.0,0.0,58158,lsf
2022-11-01,2023-01-31,"[2, 5]",2,500,0.95,0.7,2022-11-11,7696.0,6.0,141.0,1068.0,58158,lsf
2022-11-01,2023-01-31,"[2, 5]",2,500,0.95,0.7,2022-11-12,7308.0,6.0,0.0,0.0,58158,lsf
2022-11-01,2023-01-31,"[2, 5]",2,500,0.95,0.7,2022-11-13,6608.0,13.0,0.0,0.0,58158,lsf
2022-11-01,2023-01-31,"[2, 5]",2,500,0.95,0.7,2022-11-14,7031.0,10.0,0.0,0.0,58158,lsf
2022-11-01,2023-01-31,"[2, 5]",2,500,0.95,0.7,2022-11-15,6335.0,11.0,214.0,2995.0,58158,lsf
2022-11-01,2023-01-31,"[2, 5]",2,500,0.95,0.7,2022-11-16,5733.0,25.0,0.0,0.0,58158,lsf
2022-11-01,2023-01-31,"[2, 5]",2,500,0.95,0.7,2022-11-17,5376.0,26.0,0.0,0.0,58158,lsf
2022-11-01,2023-01-31,"[2, 5]",2,500,0.95,0.7,2022-11-18,7900.0,6.0,144.0,1200.0,58158,lsf
2022-11-01,2023-01-31,"[2, 5]",2,500,0.95,0.7,2022-11-19,7556.0,5.0,0.0,0.0,58158,lsf
2022-11-01,2023-01-31,"[2, 5]",2,500,0.95,0.7,2022-11-20,7029.0,11.0,0.0,0.0,58158,lsf
2022-11-01,2023-01-31,"[2, 5]",2,500,0.95,0.7,2022-11-21,7614.0,8.0,0.0,0.0,58158,lsf
2022-11-01,2023-01-31,"[2, 5]",2,500,0.95,0.7,2022-11-22,6887.0,7.0,177.0,3389.0,58158,lsf
2022-11-01,2023-01-31,"[2, 5]",2,500,0.95,0.7,2022-11-23,6357.0,6.0,0.0,0.0,58158,lsf
2022-11-01,2023-01-31,"[2, 5]",2,500,0.95,0.7,2022-11-24,5564.0,14.0,0.0,0.0,58158,lsf
2022-11-01,2023-01-31,"[2, 5]",2,500,0.95,0.7,2022-11-25,8198.0,7.0,146.0,1886.0,58158,lsf
2022-11-01,2023-01-31,"[2, 5]",2,500,0.95,0.7,2022-11-26,7813.0,6.0,0.0,0.0,58158,lsf
2022-11-01,2023-01-31,"[2, 5]",2,500,0.95,0.7,2022-11-27,7382.0,13.0,0.0,0.0,58158,lsf
2022-11-01,2023-01-31,"[2, 5]",2,500,0.95,0.7,2022-11-28,8691.0,6.0,0.0,0.0,58158,lsf
2022-11-01,2023-01-31,"[2, 5]",2,500,0.95,0.7,2022-11-29,8116.0,13.0,198.0,1873.0,58158,lsf
2022-11-01,2023-01-31,"[2, 5]",2,500,0.95,0.7,2022-11-30,7514.0,19.0,0.0,0.0,58158,lsf
