owner,segment_name,size_in_mb,num_rows,date
LYERP,NFN_VOUCHER,88,273900.0,20240821
LYERP,NFN_TRANSFERTEMPLATE,0,3.0,20240821
LYERP,NFN_REPORT,1,7726.0,20240821
LYERP,NFN_OPERATOR_ACCOUNTSET,0,1361.0,20240821
LYERP,NFN_OPERATOR,0,371.0,20240821
DBSNMP,BSLN_METRIC_DEFAULTS,0,49.0,20240821
DBSNMP,BSLN_BASELINES,0,2.0,20240821
ORDDATA,ORDDCM_DOC_REFS,0,7.0,20240821
ORDDATA,ORDDCM_MAPPED_PATHS,0,0.0,20240821
ORDDATA,ORDDCM_PREFS_LOOKUP,0,13.0,20240821
ORDDATA,ORDDCM_STORED_TAGS,0,0.0,20240821
ORDDATA,ORDDCM_DATA_MODEL,0,1.0,20240821
ORDDATA,ORDDCM_CT_PRED,0,61.0,20240821
ORDDATA,ORDDCM_CT_MACRO_PAR,0,2.0,20240821
OGGERP,NP_CLUSTER_MASTERONLY_CMD,0,54.0,20240821
OGGERP,TMP_BOM_DTL,0,0.0,20240821
OGGERP,ZX_MPCS_PRESCRIPTION_DTL,0,396.0,20240821
OGGERP,YLF_MPCS_GMP_STDITEM,2,8045.0,20240821
OGGERP,ZX_LYZY_EMPLOYEE,0,1.0,20240821
OGGERP,PM4_ZZDYF_DEPOT_NEWOLD,0,9.0,20240821
OGGERP,ZX_NP_ST_INIT_NOID2,0,6.0,20240821
OGGERP,ZX_116036,0,413.0,20240821
OGGERP,PUB_COMPANY_BAK20171227,9,53742.0,20240821
OGGERP,PUB_FACTORY_BAK20171227,2,11914.0,20240821
OGGERP,NP_MAC_BAK,1,3455.0,20240821
OGGERP,T_EDI_ENTRYGOODS,0,3307.0,20240821
OGGERP,T_TEST1,59,143864.0,20240821
OGGERP,GOODS_NO,0,6401.0,20240821
OGGERP,TMP_SETDTL,0,202.0,20240821
OGGERP,TMP_PUB_EMPLOYEE_BAK,1,5446.0,20240821
OGGERP,MPCS_MC_CAL_LOGS,1,7634.0,20240821
OGGERP,ZX_SRM_GOODS,5,32973.0,20240821
OGGERP,TMP_CLASS,0,119.0,20240821
OGGERP,ZX_SRM_DEPT_ALTER_INFO,0,18.0,20240821
OGGERP,T_101141,0,9.0,20240821
OGGERP,ZX_TL_GOODS_PACKINGID,1,8316.0,20240821
OGGERP,TMP_PUB_ENTRY_GOODS,0,1365.0,20240821
OGGERP,NP_SERVICE_BAK20170412,0,2258.0,20240821
OGGERP,TMP_GOODSID_TMP,0,1308.0,20240821
OGGERP,GSP_TRAIN_SIGN_DTL,0,79.0,20240821
OGGERP,GSP_TRAIN_PLAN_DOC,0,33.0,20240821
OGGERP,LY_IMP_CUSTOM,0,865.0,20240821
OGGERP,INSIPROM_INSIDAY,0,24.0,20240821
OGGERP,LY_WMS_STQTY,2,3533.0,20240821
OGGERP,LY_QX_SUPPLY,0,259.0,20240821
OGGERP,MPCS_CA_MEACARDSORT,0,3.0,20240821
OGGERP,MPCS_MC_DESK_STOCK,0,184.0,20240821
OGGERP,MPCS_MC_MO_SUM,8,87364.0,20240821
OGGWMS,NP_EFILES_DIR,0,1.0,20240821
OGGWMS,NP_HOV,0,193.0,20240821
OGGWMS,NP_FILEGROUP,0,2.0,20240821
OGGWMS,SYS_COLUMN_CN,0,392.0,20240821
OGGWMS,T310,0,0.0,20240821
OGGWMS,TPRICE_TRANS_REGION,0,95.0,20240821
OGGWMS,TPRICE_MODEL_DOC,0,6.0,20240821
OGGWMS,TPL_PUB_GOODS,60,398884.0,20240821
OGGWMS,TPL_GOODS_PACKS,808,15842091.0,20240821
OGGWMS,TPL_GOODSOWNER_TO_WAREHOUSE,0,138.0,20240821
OGGERP,MPCS_MC_COSTCALC_LOG,3,14838.0,20240821
OGGERP,ZZ_GYS,0,1455.0,20240821
OGGERP,LSCB,0,4186.0,20240821
OGGERP,ZX_111070,0,527.0,20240821
OGGERP,T_101157,0,235.0,20240821
OGGERP,T_101167_DTL,0,254.0,20240821
OGGERP,YBH_TMP,0,3.0,20240821
OGGERP,T410,0,0.0,20240821
OGGERP,T302_HIS,12166,29639980.0,20240821
OGGERP,TMP_TAXNO,0,1676.0,20240821
OGGERP,LY_IMP_GOODS_PRINTCLASS,0,3345.0,20240821
OGGERP,GSP_TRAIN_ASSESS_DTL,0,77.0,20240821
OGGERP,NFN_REPORT_DTL,24,720882.0,20240821
OGGERP,NFN_REPORT,1,7726.0,20240821
OGGERP,NFN_OPERATOR_PROD,0,559.0,20240821
OGGERP,NFN_VOUCHERENTRYTEMP,0,161.0,20240821
OGGERP,NGPCS_NOPROMSALES_GOODS,0,260.0,20240821
OGGERP,NGPCS_ST_CUT_REAL_DTL,232,5037269.0,20240821
OGGERP,NGPCS_ST_CUT_REAL,0,2405.0,20240821
LYERP,NPBUSI_YB_JXCSC_BAK,41,329147.0,20240821
LYWMS,ZX_TL_CHECK,0,1.0,20240821
OGGERP,ZX_116047_ERR_REC,0,1366.0,20240821
OGGERP,BMS_SA_DTL_586_NODTL,0,174.0,20240821
OGGERP,TMP_20180802,0,419.0,20240821
OGGERP,PLSQL_PROFILER_DATA,0,44.0,20240821
OGGERP,ZX_101140,0,13.0,20240821
OGGERP,TMP_20180509_SET_BAK,0,701.0,20240821
OGGERP,ZX_111049,52,418158.0,20240821
OGGERP,BMS_SASET_IMP_TMP_BAK,13,98314.0,20240821
OGGERP,ZX_116052_QX_TMP,0,101.0,20240821
OGGERP,ZX_BMS_CERT_DTL_TMP_1,0,395.0,20240821
OGGERP,BMS_SU_REBATE_REC_DOC,0,2.0,20240821
OGGERP,ZX_YEAR_HOV,0,1101.0,20240821
OGGERP,T800,1,3581.0,20240821
OGGERP,ZX_ENTRY_GOODS,0,147.0,20240821
OGGERP,ZX_GPCS_DIRECT_SUPPLY_DOC,1,5212.0,20240821
OGGERP,ZX_SET_MANAGER_EXPORT,0,2.0,20240821
OGGERP,ZX_111042,1,6845.0,20240821
OGGERP,BMS_BFS_FLOW,4,22555.0,20240821
OGGERP,BMS_CNS_ST,0,1.0,20240821
OGGERP,ZX_ZYC_YWYDYKF,0,0.0,20240821
OGGERP,BMS_CREDIT_EXEC_ORDER,0,12902.0,20240821
OGGERP,YLF_GSP_COMPANY_LICENSE,0,209.0,20240821
OGGERP,MPCS_GOODS_QUOTE_DTL,1,13812.0,20240821
OGGERP,GAO_TMP3,0,5077.0,20240821
OGGERP,T_ENTRY_SALES,4,76500.0,20240821
OGGERP,CHN_R_REPORT_AUTHORCOLUMN,0,3.0,20240821
OGGERP,CHN_R_REPORT_COLUMN,0,3.0,20240821
OGGERP,BMS_SU_PLAN_LST,2,23618.0,20240821
OGGERP,ZZ_PUB_GOODS_TMP,14,45964.0,20240821
OGGERP,TOZW_PLAN_SET_DTL_BAK,1,8241.0,20240821
OGGERP,BMS_SU_TO_SU,8,341849.0,20240821
OGGERP,BMS_TR_BACK_INSERT,368,8942347.0,20240821
OGGERP,BMS_TRANSCONTROL_DTL,96,1498480.0,20240821
OGGERP,GPCS_ACCEPTRETURN,37,818945.0,20240821
OGGERP,GPCS_FORBID_REQGOODS,0,186.0,20240821
OGGERP,ZX_XYUE_GOODSFX_2012_YM,0,80.0,20240821
OGGERP,GPCS_PLACERETURN,29,539097.0,20240821
OGGERP,GPCS_PLACEPOINT,0,350.0,20240821
OGGWMS,WMS_IN_ORDER,976,4281051.0,20240821
OGGWMS,XYUE_TMP_PD_CUTDATE,0,1869.0,20240821
OGGWMS,ZX_710037_SPDATA_HISTORY,0,6804.0,20240821
OGGWMS,ZX_710037_TMP,0,93.0,20240821
OGGERP,ZX_IPO_CUSTOM20140214,5,22902.0,20240821
OGGERP,GSP_CATEGORY_SUPPLYER,3,113542.0,20240821
OGGERP,PUB_GOODS_VARIETY_DESC_BAK,0,103.0,20240821
OGGERP,LYZY_SUPPLYID,0,175.0,20240821
OGGERP,ZX_116064,0,37.0,20240821
OGGWMS,XYUE_IMP_XGBZ,0,1.0,20240821
OGGERP,T_108164,0,3576.0,20240821
OGGERP,T_JXZHJG_SJJBM_DTL,0,214.0,20240821
OGGERP,ZX_RECODE,19,552907.0,20240821
OGGERP,GPCS_PLACESUPPLY,152,1946224.0,20240821
OGGERP,BI_COM_STRUCT,0,39.0,20240821
OGGERP,TMP_NGPCS_PRICE,0,0.0,20240821
OGGERP,COST,0,1267.0,20240821
OGGERP,ZZ_DDL,0,2544.0,20240821
OGGERP,ZX_BMS_CUSTOMERTOPRICE_DOC,0,729.0,20240821
OGGWMS,WMS_ZSPT_IN,0,0.0,20240821
OGGWMS,XYUE_TMP_NINGDEPOS,0,81.0,20240821
OGGWMS,ZX_ZYC_WAREH_SHR,0,1.0,20240821
OGGERP,ZX_GPCS_TEMPLATE_DOC,0,5.0,20240821
OGGERP,ESHOP_SUPLAN,23,256987.0,20240821
OGGERP,LY_ZX_ST_PICKWAY,0,92.0,20240821
OGGERP,ZX_TL_GOODS_POLICYNO,0,2471.0,20240821
OGGERP,GXYLF,0,0.0,20240821
OGGERP,MPCS_MC_CAL_CHECK_DOC,0,140.0,20240821
OGGERP,T_108166_DOC,0,0.0,20240821
LYERP,T_108166_DTL,0,0.0,20240821
OGGERP,T_108166_DTL,0,0.0,20240821
OGGERP,BMS_AGENT_DEF,2,21246.0,20240821
OGGERP,ZX_BMS_SA_EXPGOLDMEMO,0,17.0,20240821
OGGERP,GRESA_SA_DTL,15810,62738704.0,20240821
OGGERP,GSP_DRUGSTORE_PRINCIPAL_INFO,0,4.0,20240821
OGGERP,BMS_CREDIT_CANCEL_DTL,0,9830.0,20240821
OGGERP,TMP_YBINFO,0,0.0,20240821
OGGERP,BMS_CUS_DISCOUNT_DEF,0,1055.0,20240821
OGGERP,BMS_FETCH_TO_SAIO,16,695763.0,20240821
OGGERP,ESHOP_ECONID,0,987.0,20240821
OGGERP,BMS_MVPOS_UPDOWNSET,1,23136.0,20240821
OGGERP,BMS_PR_ADJUST_DTL,0,7.0,20240821
OGGERP,PM4_PT_SUPPLY,0,0.0,20240821
OGGERP,PM4_PT_SUPPLY_AGENT,0,387.0,20240821
OGGERP,T_101152_BAK20210709,0,0.0,20240821
OGGERP,PM4_PT_GOODS,1,2153.0,20240821
LYWMS,XYUE_IMP_JHPOS,0,1.0,20240821
OGGERP,BMS_SA_CON_DOC,1830,8872343.0,20240821
OGGERP,BMS_SA_DTL_TMP,21,1682653.0,20240821
OGGERP,T_101175_DTL,0,8.0,20240821
OGGERP,BMS_SETTLE_PAY,184,6653959.0,20240821
OGGERP,BMS_ST_ADJUST_DTL,152,1610482.0,20240821
OGGERP,YLF_MPCS_NM_GOODSPROC_PROC,0,3847.0,20240821
OGGERP,PM4_PT_GOODS_NEWOLD,0,6379.0,20240821
OGGERP,BMS_SU_PAYPLAN_DOC,0,2.0,20240821
OGGERP,BMS_SU_PAYPLAN_DTL,0,2.0,20240821
OGGERP,ZX_TL_116038_TMP,0,2471.0,20240821
OGGERP,NP_RPTCENT_STYLE_AUTH,0,17.0,20240821
OGGERP,ZZ_DAYREPORT_LOG,19,292549.0,20240821
OGGERP,XYUE_IN_TMP,0,60.0,20240821
OGGERP,PUB_DXPGOODS_DTL,0,1197.0,20240821
OGGWMS,NP_MAC,0,1689.0,20240821
OGGERP,NFN_COMB_PLANSTR,0,532.0,20240821
OGGERP,NFN_COMB_PLAN,0,16.0,20240821
OGGERP,NFN_COMB_DFTITEMKM,0,79.0,20240821
OGGERP,MPCS_PR_IN_DOC,10,98534.0,20240821
OGGERP,LY_ZX_SUPPLYER_TO_CONNECT,0,5758.0,20240821
OGGERP,LY_BY_SUPPLYER,0,17.0,20240821
OGGERP,PM4_PT_SET_USERS,0,65.0,20240821
OGGERP,T_101175_DOC,0,10.0,20240821
OGGERP,GAO_TM4,0,5.0,20240821
OGGERP,BMS_ST_MV_POS_GOODS,0,16616.0,20240821
OGGERP,BMS_SA_DOCTOSET,912,34382342.0,20240821
OGGERP,BMS_SADOC_IMP_TMP,216,730125.0,20240821
OGGERP,BMS_PAY_RELATION,0,1.0,20240821
OGGWMS,ZX_OUT_LABEL_PRINT_XMFY,0,560.0,20240821
OGGWMS,OSGC_IWCS_CONFIG_DTL,0,12.0,20240821
OGGWMS,XYUE_TMP_IOLOT,0,1482.0,20240821
OGGWMS,ZX_TL_CONSERVE_TMP,0,25.0,20240821
OGGWMS,PUBGOODSPACK_TMP,0,109.0,20240821
