日期,星期,最高温度,最低温度,天气,风向
2013/1/1, 星期二 ,14℃,6℃,多云,微风 小于3级
2013/1/2, 星期三 ,17℃,10℃,多云,微风 小于3级
2013/1/3, 星期四 ,14℃,10℃,阴,东北风 3-4级
2013/1/4, 星期五 ,14℃,9℃,阴,东北风~微风 3-4级~小于3级
2013/1/5, 星期六 ,17℃,10℃,多云,微风 小于3级
2013/1/6, 星期日 ,19℃,12℃,多云,微风 小于3级
2013/1/7, 星期一 ,20℃,13℃,多云,微风 小于3级
2013/1/8, 星期二 ,17℃,13℃,多云转阴,微风 小于3级
2013/1/9, 星期三 ,15℃,11℃,阴转多云,微风~东北风 小于3级~3-4级
2013/1/10, 星期四 ,15℃,9℃,多云,东北风 3-4级
2013/1/11, 星期五 ,17℃,10℃,多云,微风 小于3级
2013/1/12, 星期六 ,17℃,12℃,阵雨,微风 小于3级
2013/1/13, 星期日 ,20℃,12℃,阵雨转多云,微风 小于3级
2013/1/14, 星期一 ,18℃,10℃,多云,微风 小于3级
2013/1/15, 星期二 ,17℃,9℃,多云,微风 小于3级
2013/1/16, 星期三 ,19℃,10℃,多云,微风 小于3级
2013/1/17, 星期四 ,15℃,10℃,多云,微风~东北风 小于3级~3-4级
2013/1/18, 星期五 ,12℃,7℃,多云,东北风 3-4级
2013/1/19, 星期六 ,16℃,6℃,多云,东北风~微风 3-4级~小于3级
2013/1/20, 星期日 ,20℃,10℃,多云,微风 小于3级
2013/1/21, 星期一 ,22℃,14℃,多云,微风 小于3级
2013/1/22, 星期二 ,18℃,13℃,阵雨,微风 小于3级
2013/1/23, 星期三 ,20℃,13℃,阴,微风 小于3级
2013/1/24, 星期四 ,18℃,12℃,多云转阴,微风 小于3级
2013/1/25, 星期五 ,17℃,12℃,多云,微风 小于3级
2013/1/26, 星期六 ,17℃,11℃,多云,微风 小于3级
2013/1/27, 星期日 ,17℃,11℃,多云转阴,微风 小于3级
2013/1/28, 星期一 ,17℃,9℃,多云,微风 小于3级
2013/1/29, 星期二 ,19℃,10℃,多云,东北风~微风 3-4级~小于3级
2013/1/30, 星期三 ,20℃,12℃,多云,微风 小于3级
2013/1/31, 星期四 ,22℃,11℃,多云,微风 小于3级
2013/2/1, 星期五 ,24℃,14℃,多云,微风 小于3级
2013/2/2, 星期六 ,21℃,15℃,多云,微风 小于3级
2013/2/3, 星期日 ,19℃,14℃,阵雨,微风 小于3级
2013/2/4, 星期一 ,24℃,15℃,阴,微风 小于3级
2013/2/5, 星期二 ,21℃,16℃,阵雨,微风 小于3级
2013/2/6, 星期三 ,20℃,15℃,阴转多云,微风 小于3级
2013/2/7, 星期四 ,18℃,14℃,多云转阴,微风 小于3级
2013/2/8, 星期五 ,14℃,9℃,阵雨,东北风 3-4级~4-5级
2013/2/9, 星期六 ,14℃,7℃,阴,东北风 4-5级
2013/2/10, 星期日 ,16℃,8℃,多云转阴,微风 小于3级
2013/2/11, 星期一 ,17℃,11℃,多云,微风 小于3级
2013/2/12, 星期二 ,19℃,12℃,阴,微风 小于3级
2013/2/13, 星期三 ,19℃,13℃,阴,微风 小于3级
2013/2/14, 星期四 ,22℃,12℃,多云,微风 小于3级
2013/2/15, 星期五 ,20℃,13℃,阴转阵雨,微风 小于3级
2013/2/16, 星期六 ,17℃,10℃,多云,微风 小于3级
2013/2/17, 星期日 ,21℃,12℃,多云,微风 小于3级
2013/2/18, 星期一 ,24℃,15℃,多云转阴,微风 小于3级
2013/2/19, 星期二 ,21℃,12℃,阵雨,微风 小于3级
2013/2/20, 星期三 ,15℃,10℃,阴,东北风 3-4级
2013/2/21, 星期四 ,18℃,10℃,阴,东北风~微风 3-4级~小于3级
2013/2/22, 星期五 ,20℃,13℃,多云转阴,微风 小于3级
2013/2/23, 星期六 ,19℃,11℃,多云,东北风 3-4级
2013/2/24, 星期日 ,21℃,12℃,多云,微风 小于3级
